aptitude_marks,10th_marks,12th_marks,degree_marks,internship,projects,backlogs,leetcode_question,placement_chance
60,65,60,62,1,2,4,25,55
75,80,78,75,3,4,1,150,70
55,70,68,60,0,2,3,20,45
80,85,82,80,4,6,1,200,85
65,68,70,68,1,2,3,90,60
85,85,88,87,4,6,0,550,90
40,55,55,58,0,1,5,10,35
60,62,65,62,2,3,3,25,55
75,78,78,78,3,4,1,120,70
50,58,60,58,1,2,4,8,50
70,72,72,72,2,3,2,49,65
80,80,82,82,4,5,0,190,85
45,55,55,58,0,1,5,29,35
65,68,70,68,1,2,3,50,60
85,88,87,88,4,6,0,250,90
40,52,55,50,0,1,5,30,30
60,62,65,62,2,3,3,45,55
75,78,78,78,3,4,1,120,70
50,58,60,58,1,2,4,50,50
70,72,72,72,2,3,2,400,95
80,82,82,80,4,5,0,500,96
60,65,60,62,1,2,4,250,89
75,80,78,75,3,4,1,450,95
